County Name,State,Metropolitan Designation,Original Property Value,Original Loan Amount,Original LTV,Current Property Value,Current Loan Amount,Current LTV,Future Property Value,Future Loan Amount,Future LTV
HENRY,IOWA,NON-METRO,50.23,40,79.63 ,60.23,40,66.41 ,55.23,40,72.42 
HOWARD,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HUMBOLDT,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
IDA,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
IOWA,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JACKSON,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JASPER,IOWA,"NEWTON, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JEFFERSON,IOWA,"FAIRFIELD, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JOHNSON,IOWA,"IOWA CITY, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JONES,IOWA,"CEDAR RAPIDS, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KEOKUK,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KOSSUTH,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LEE,IOWA,"FORT MADISON-KEOKUK, IA-IL-MO",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LINN,IOWA,"CEDAR RAPIDS, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LOUISA,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LUCAS,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LYON,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MADISON,IOWA,"DES MOINES-WEST DES MOINES, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MAHASKA,IOWA,"OSKALOOSA, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARION,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARSHALL,IOWA,"MARSHALLTOWN, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MILLS,IOWA,"OMAHA-COUNCIL BLUFFS, NE-IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MITCHELL,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MONONA,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MONROE,IOWA,NON-METRO,20.3,15,73.89 ,20.3,15,73.89 ,20.3,15,73.89 
MONTGOMERY,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MUSCATINE,IOWA,"MUSCATINE, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
O'BRIEN,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
OSCEOLA,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PAGE,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PALO ALTO,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PLYMOUTH,IOWA,"SIOUX CITY, IA-NE-SD",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
POCAHONTAS,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
POLK,IOWA,"DES MOINES-WEST DES MOINES, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
POTTAWATTAMIE,IOWA,"OMAHA-COUNCIL BLUFFS, NE-IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
POWESHIEK,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
RINGGOLD,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SAC,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SCOTT,IOWA,"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SHELBY,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SIOUX,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
STORY,IOWA,"AMES, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
TAMA,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
TAYLOR,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
UNION,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
VAN BUREN,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WAPELLO,IOWA,"OTTUMWA, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WARREN,IOWA,"DES MOINES-WEST DES MOINES, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WASHINGTON,IOWA,"IOWA CITY, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WAYNE,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WEBSTER,IOWA,"FORT DODGE, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WINNEBAGO,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WINNESHIEK,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WOODBURY,IOWA,"SIOUX CITY, IA-NE-SD",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WORTH,IOWA,"MASON CITY, IA",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WRIGHT,IOWA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ALLEN,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ANDERSON,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ATCHISON,KANSAS,"ATCHISON, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BARBER,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BARTON,KANSAS,"GREAT BEND, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BOURBON,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BROWN,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BUTLER,KANSAS,"WICHITA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CHASE,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CHAUTAUQUA,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CHEROKEE,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CHEYENNE,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLARK,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLAY,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLOUD,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
COFFEY,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
COMANCHE,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
COWLEY,KANSAS,"ARKANSAS CITY-WINFIELD, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CRAWFORD,KANSAS,"PITTSBURG, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DECATUR,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DICKINSON,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DONIPHAN,KANSAS,"ST. JOSEPH, MO-KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DOUGLAS,KANSAS,"LAWRENCE, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
EDWARDS,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ELK,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ELLIS,KANSAS,"HAYS, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ELLSWORTH,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FINNEY,KANSAS,"GARDEN CITY, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FORD,KANSAS,"DODGE CITY, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FRANKLIN,KANSAS,"OTTAWA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GEARY,KANSAS,"JUNCTION CITY, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GOVE,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GRAHAM,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GRANT,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GRAY,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GREELEY,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GREENWOOD,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HAMILTON,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HARPER,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HARVEY,KANSAS,"WICHITA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HASKELL,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HODGEMAN,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JACKSON,KANSAS,"TOPEKA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JEFFERSON,KANSAS,"TOPEKA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JEWELL,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JOHNSON,KANSAS,"KANSAS CITY, MO-KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KEARNY,KANSAS,"GARDEN CITY, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KINGMAN,KANSAS,"WICHITA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KIOWA,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LABETTE,KANSAS,"PARSONS, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LANE,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LEAVENWORTH,KANSAS,"KANSAS CITY, MO-KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LINCOLN,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LINN,KANSAS,"KANSAS CITY, MO-KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LOGAN,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LYON,KANSAS,"EMPORIA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MCPHERSON,KANSAS,"MCPHERSON, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARION,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARSHALL,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MEADE,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MIAMI,KANSAS,"KANSAS CITY, MO-KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MITCHELL,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MONTGOMERY,KANSAS,"COFFEYVILLE, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MORRIS,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MORTON,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NEMAHA,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NEOSHO,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NESS,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NORTON,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
OSAGE,KANSAS,"TOPEKA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
OSBORNE,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
OTTAWA,KANSAS,"SALINA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PAWNEE,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PHILLIPS,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
POTTAWATOMIE,KANSAS,"MANHATTAN, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PRATT,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
RAWLINS,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
RENO,KANSAS,"HUTCHINSON, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
REPUBLIC,KANSAS,NON-METRO,50.23,40,79.63 ,60.23,40,66.41 ,55.23,40,72.42 
RICE,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
RILEY,KANSAS,"MANHATTAN, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ROOKS,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
RUSH,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
RUSSELL,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SALINE,KANSAS,"SALINA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SCOTT,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SEDGWICK,KANSAS,"WICHITA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SEWARD,KANSAS,"LIBERAL, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SHAWNEE,KANSAS,"TOPEKA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SHERIDAN,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SHERMAN,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SMITH,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
STAFFORD,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
STANTON,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
STEVENS,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SUMNER,KANSAS,"WICHITA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
THOMAS,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
TREGO,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WABAUNSEE,KANSAS,"TOPEKA, KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WALLACE,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WASHINGTON,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WICHITA,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WILSON,KANSAS,NON-METRO,20.3,15,73.89 ,20.3,15,73.89 ,20.3,15,73.89 
WOODSON,KANSAS,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WYANDOTTE,KANSAS,"KANSAS CITY, MO-KS",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ADAIR,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ALLEN,KENTUCKY,"BOWLING GREEN, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ANDERSON,KENTUCKY,"FRANKFORT, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BALLARD,KENTUCKY,"PADUCAH, KY-IL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BARREN,KENTUCKY,"GLASGOW, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BATH,KENTUCKY,"MOUNT STERLING, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BELL,KENTUCKY,"MIDDLESBOROUGH, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BOONE,KENTUCKY,"CINCINNATI, OH-KY-IN",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BOURBON,KENTUCKY,"LEXINGTON-FAYETTE, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BOYD,KENTUCKY,"HUNTINGTON-ASHLAND, WV-KY-OH",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BOYLE,KENTUCKY,"DANVILLE, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BRACKEN,KENTUCKY,"CINCINNATI, OH-KY-IN",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BREATHITT,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BRECKINRIDGE,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BULLITT,KENTUCKY,"LOUISVILLE/JEFFERSON , KY-IN",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BUTLER,KENTUCKY,"BOWLING GREEN, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CALDWELL,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CALLOWAY,KENTUCKY,"MURRAY, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CAMPBELL,KENTUCKY,"CINCINNATI, OH-KY-IN",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CARLISLE,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CARROLL,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CARTER,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CASEY,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CHRISTIAN,KENTUCKY,"CLARKSVILLE, TN-KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLARK,KENTUCKY,"LEXINGTON-FAYETTE, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLAY,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLINTON,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CRITTENDEN,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CUMBERLAND,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DAVIESS,KENTUCKY,"OWENSBORO, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
EDMONSON,KENTUCKY,"BOWLING GREEN, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ELLIOTT,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ESTILL,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FAYETTE,KENTUCKY,"LEXINGTON-FAYETTE, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FLEMING,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FLOYD,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FRANKLIN,KENTUCKY,"FRANKFORT, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FULTON,KENTUCKY,"UNION CITY, TN-KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GALLATIN,KENTUCKY,"CINCINNATI, OH-KY-IN",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GARRARD,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GRANT,KENTUCKY,"CINCINNATI, OH-KY-IN",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GRAVES,KENTUCKY,"MAYFIELD, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GRAYSON,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GREEN,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GREENUP,KENTUCKY,"HUNTINGTON-ASHLAND, WV-KY-OH",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HANCOCK,KENTUCKY,"OWENSBORO, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HARDIN,KENTUCKY,"ELIZABETHTOWN-FORT KNOX, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HARLAN,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HARRISON,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HART,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HENDERSON,KENTUCKY,"EVANSVILLE, IN-KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HENRY,KENTUCKY,"LOUISVILLE/JEFFERSON , KY-IN",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HICKMAN,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HOPKINS,KENTUCKY,"MADISONVILLE, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JACKSON,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JEFFERSON,KENTUCKY,"LOUISVILLE/JEFFERSON , KY-IN",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JESSAMINE,KENTUCKY,"LEXINGTON-FAYETTE, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JOHNSON,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KENTON,KENTUCKY,"CINCINNATI, OH-KY-IN",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KNOTT,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KNOX,KENTUCKY,"LONDON, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LARUE,KENTUCKY,"ELIZABETHTOWN-FORT KNOX, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LAUREL,KENTUCKY,"LONDON, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LAWRENCE,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LEE,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LESLIE,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LETCHER,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LEWIS,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LINCOLN,KENTUCKY,"DANVILLE, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LIVINGSTON,KENTUCKY,"PADUCAH, KY-IL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LOGAN,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LYON,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MCCRACKEN,KENTUCKY,"PADUCAH, KY-IL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MCCREARY,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MCLEAN,KENTUCKY,"OWENSBORO, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MADISON,KENTUCKY,"RICHMOND-BEREA, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MAGOFFIN,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARION,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARSHALL,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARTIN,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MASON,KENTUCKY,"MAYSVILLE, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MEADE,KENTUCKY,"ELIZABETHTOWN-FORT KNOX, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MENIFEE,KENTUCKY,"MOUNT STERLING, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MERCER,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
METCALFE,KENTUCKY,"GLASGOW, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MONROE,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MONTGOMERY,KENTUCKY,"MOUNT STERLING, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MORGAN,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MUHLENBERG,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NELSON,KENTUCKY,"BARDSTOWN, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NICHOLAS,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
OHIO,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
OLDHAM,KENTUCKY,"LOUISVILLE/JEFFERSON , KY-IN",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
OWEN,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
OWSLEY,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PENDLETON,KENTUCKY,"CINCINNATI, OH-KY-IN",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PERRY,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PIKE,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
POWELL,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PULASKI,KENTUCKY,"SOMERSET, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ROBERTSON,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ROCKCASTLE,KENTUCKY,"RICHMOND-BEREA, KY",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ROWAN,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
RUSSELL,KENTUCKY,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
